Artists,Name,Year,PeakPosition,WeeksOnChart,Popularity,Acousticness,Danceability,Energy,Key,Tempo,Valence,Cluster
James Blunt,You're Beautiful,2006,1,38,76,0.647238427,0.643757159,0.449941483,0,0.205255984,0.444385537,3
Chamillionaire,Ridin',2006,1,31,70,0.19324962,0.773195876,0.789339291,0.727272727,0.581803268,0.849432722,4
Sean Paul,Temperature,2006,1,31,77,0.108382343,0.959908362,0.578678583,0,0.470719568,0.834588061,1
Rihanna,SOS,2006,1,28,69,0.004087617,0.64604811,0.654218534,0.636363636,0.544767144,0.521789842,0
Kanye West,Gold Digger,2005,1,39,77,0.019629576,0.593356243,0.680817108,0.090909091,0.272747457,0.621461139,1
50 Cent,Candy Shop,2005,1,23,78,0.02586681,0.573883162,0.551016066,1,0.471539852,0.763545753,4
Mariah Carey,Don't Forget About Us,2005,1,21,58,0.043147014,0.672394044,0.503138632,0.909090909,0.584911712,0.372282897,2
Mario,Let Me Love You,2004,1,36,76,0.240284496,0.621993127,0.555271837,0.636363636,0.28244901,0.552539497,2
OutKast,Hey Ya!,2004,1,32,79,0.105314851,0.704467354,0.976593255,0.363636364,0.190009806,0.986215672,4
Snoop Dogg,Drop It Like It's Hot,2004,1,30,68,0.194272117,0.887743414,0.612724758,0.090909091,0.266814277,0.66493479,1
Sean Paul,Get Busy,2003,1,32,74,0.628833475,0.712485682,0.817001809,0.909090909,0.317530021,0.732796098,4
"B2K, P. Diddy","Bump, Bump, Bump",2003,1,22,52,0.10204286,0.825887743,0.669113736,0.090909091,0.28858572,0.892906373,1
Nickelback,How You Remind Me,2002,1,49,78,0.001377999,0.381443299,0.75316523,0.909090909,0.760927352,0.538755169,0
Ashanti,Foolish,2002,1,32,71,0.344579222,0.632302405,0.680817108,0,0.255324135,0.716891104,1
Nelly,Hot In Herre,2002,1,26,72,0.210632074,0.965635739,0.732950314,1,0.359919575,0.930018026,4
Alicia Keys,Fallin',2001,1,34,73,0.268914421,0.618556701,0.58825407,1,0.29150297,0.47407486,2
Shaggy,It Wasn't Me,2001,1,25,76,0.057359727,0.847651775,0.585062241,0,0.283960059,0.656452126,1
Usher,U Remind Me,2001,1,24,73,0.198362107,0.623138603,0.609532929,0.545454545,0.279186377,0.732796098,4
Creed,With Arms Wide Open,2000,1,47,65,0.004343241,0.340206186,0.513778061,0,0.555905735,0.112501325,1
Savage Garden,I Knew I Loved You,2000,1,33,69,0.327196768,0.56930126,0.469092457,0.818181818,0.223962156,0.746580426,2
Destiny's Child,Say My Name,2000,1,32,76,0.279139394,0.687285223,0.661666135,0.454545455,0.550706493,0.741278762,4
Sisqo,Incomplete,2000,1,26,59,0.28834187,0.725085911,0.411639536,0.090909091,0.435385688,0.251404941,3
Christina Aguilera,Genie In A Bottle,1999,1,25,72,0.214722064,0.588774341,0.791467177,0.090909091,0.783876797,0.930018026,1
Enrique Iglesias,Bailamos,1999,1,20,53,0.053985486,0.588774341,0.885094159,0.818181818,0.315698259,0.58965115,4
Destiny's Child,"Bills, Bills, Bills",1999,1,20,65,0.142124754,0.838487973,0.553143951,1,0.486761359,0.451807868,2
"Marshmello, Bastille",Happier,2019,2,45,86,0.195294615,0.657502864,0.782955634,0.454545455,0.316376689,0.674477786,4
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",2019,2,20,81,0.043044765,0.702176403,0.529737206,0.454545455,0.74800634,0.318205917,0
Billie Eilish,Bad Guy,2019,2,13,91,0.335376746,0.673539519,0.392488563,0.636363636,0.532937788,0.558901495,2
Taylor Swift,You Need To Calm Down,2019,2,2,83,0.009496628,0.753722795,0.654218534,0.181818182,0.223931318,0.720072103,1
Juice WRLD,Lucid Dreams,2018,2,46,89,0.35684919,0.455899198,0.542504522,0.545454545,0.217005162,0.194146962,2
twenty one pilots,Stressed Out,2016,2,52,83,0.047237004,0.711340206,0.618044473,0.363636364,0.747870654,0.650090128,1
Lukas Graham,7 Years,2016,2,36,79,0.293454357,0.746849943,0.443557825,0.909090909,0.439585788,0.323507581,2
Ed Sheeran,Thinking Out Loud,2015,2,58,65,0.484661354,0.765177549,0.413767422,0.181818182,0.186753341,0.58965115,3
Fetty Wap,Trap Queen,2015,2,52,75,0.024946562,0.725085911,0.869135014,0.636363636,0.612789027,0.829286396,4
Maroon 5,Sugar,2015,2,42,80,0.060427219,0.727376861,0.778699862,0.090909091,0.440103862,0.900328703,1
OneRepublic,Counting Stars,2014,2,68,74,0.066868952,0.63115693,0.690392595,0.090909091,0.452075071,0.468773195,1
Sam Smith,Stay With Me,2014,2,54,82,0.601226048,0.349369989,0.387168848,0,0.218183164,0.158095642,3
Nicki Minaj,Anaconda,2014,2,22,65,0.068300448,0.974799542,0.583998298,0.818181818,0.501273599,0.647969462,4
Justin Timberlake,Mirrors,2013,2,42,76,0.239261999,0.528064147,0.485051601,0.454545455,0.173807659,0.505884848,2
Miley Cyrus,We Can't Stop,2013,2,26,77,0.009016054,0.572737686,0.602085328,0.090909091,0.192951727,0.476195525,1
Ellie Goulding,Lights,2012,2,57,47,0.073719684,0.67583047,0.718055112,0.727272727,0.439807819,0.725373767,4
Maroon 5,Payphone,2012,2,31,73,0.013903591,0.717067583,0.744653687,0.363636364,0.378132343,0.51754851,1
Katy Perry,Wide Awake,2012,2,26,68,0.076582677,0.459335624,0.66698585,0.454545455,0.685189868,0.572685823,0
Justin Bieber,Boyfriend,2012,2,20,67,0.036603032,0.691867125,0.525481434,0.909090909,0.297633512,0.315024918,2
Taio Cruz,Dynamite,2010,2,47,55,0.004721565,0.735395189,0.782955634,0.363636364,0.439524112,0.883363376,4
Lady Gaga,Bad Romance,2010,2,35,80,0.003208269,0.667812142,0.920204277,0,0.433473748,0.720072103,1
Iyaz,Replay,2010,2,34,74,0.176889663,0.679266896,0.739333972,0.818181818,0.260967442,0.169759304,2
Taylor Swift,Today Was A Fairytale,2010,2,18,52,0.031388295,0.432989691,0.688264709,0.636363636,0.673927926,0.327748913,0
Taylor Swift,You Belong With Me,2009,2,50,70,0.18200215,0.657502864,0.732950314,0.545454545,0.501100907,0.424239211,0
Kanye West,Heartless,2009,2,30,76,0.052656239,0.775486827,0.628683903,0.909090909,0.242267437,0.656452126,4
Miley Cyrus,Party In The U.S.A.,2009,2,28,74,0.001142825,0.617411226,0.682944994,0.909090909,0.291743504,0.461350864,2
Drake,Best I Ever Had,2009,2,24,47,0.104292354,0.375715922,0.902117247,0.090909091,0.697068565,0.523910508,1
Chris Brown,Forever,2008,2,33,73,0.037625529,0.640320733,0.812746037,1,0.439665966,0.42742021,2
Chris Brown,With You,2008,2,29,72,0.137012268,0.628865979,0.677625279,0.272727273,0.229994017,0.657512459,1
Timbaland,Apologize,2007,2,47,71,0.029854549,0.618556701,0.582934355,0.727272727,0.427398713,0.070088008,2
Gwen Stefani,The Sweet Escape,2007,2,40,68,0.195294615,0.736540664,0.759548888,0.090909091,0.439394594,0.73703743,1
Fergie,Fergalicious,2007,2,27,71,0.058893473,0.90836197,0.561655495,0.727272727,0.495482271,0.844131057,4
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",2007,2,20,43,0.0011326,0.366552119,0.884030216,0.818181818,0.933489167,0.473014527,0
Gnarls Barkley,Crazy,2006,2,29,71,0.017584582,0.827033219,0.728694542,0.727272727,0.390066548,0.611918142,4
The Pussycat Dolls,Don't Cha,2005,2,40,67,0.005273714,0.875143184,0.618044473,0.090909091,0.439561117,0.566323826,1
Green Day,Boulevard Of Broken Dreams,2005,2,36,74,0.005641813,0.438717068,0.665921907,0.727272727,0.729879918,0.465592196,0
Rihanna,Pon de Replay,2005,2,27,75,0.000156115,0.762886598,0.621236302,0.636363636,0.310233812,0.491040187,4
The Game,Hate It Or Love It,2005,2,23,72,0.143147252,0.789232532,0.775508033,0.818181818,0.316271841,0.424239211,2
Hoobastank,The Reason,2004,2,38,53,0.013085593,0.405498282,0.625492074,0.363636364,0.210911625,0.032340155,3
Chingy,One Call Away,2004,2,20,60,0.093862881,0.746849943,0.81380998,0.363636364,0.701873084,0.983034673,4
R. Kelly,Ignition,2003,2,42,46,0.34560172,0.789232532,0.286094265,0.909090909,0.109628159,0.73703743,2
Chingy,Right Thurr,2003,2,33,67,0.153372225,0.862542955,0.737206086,0.181818182,0.267400194,0.907751034,1
Christina Aguilera,Beautiful,2003,2,27,71,0.591001075,0.392898053,0.549952123,0.454545455,0.169434868,0.068179408,3
Linkin Park,In The End,2002,2,39,83,0.009793152,0.50744559,0.859559528,0.272727273,0.348003873,0.387127558,1
Eminem,Without Me,2002,2,20,38,0.003238944,0.928980527,0.628683903,0.636363636,0.391768791,0.681900117,4
Eve,Let Me Blow Ya Mind,2001,2,33,72,0.247441978,0.910652921,0.532929035,0.727272727,0.254806061,0.914113031,4
Destiny's Child,Survivor,2001,2,20,71,0.057155228,0.459335624,0.909564847,0.090909091,0.693176842,0.619340473,1
Faith Hill,Breathe,2000,2,53,65,0.176889663,0.476517755,0.468028514,0.636363636,0.543613813,0.257766939,2
Marc Anthony,You Sang To Me,2000,2,32,53,0.01052935,0.532646048,0.891477817,0.909090909,0.723218966,0.748701092,4
Brian McKnight,Back At One,1999,2,37,70,0.462166413,0.627720504,0.308437068,1,0.499781052,0.234439614,2
Jennifer Lopez,If You Had My Love,1999,2,25,64,0.065948704,0.649484536,0.605277157,1,0.279402241,0.826105397,4
Mariah Carey,All I Want For Christmas Is You,2019,3,30,64,0.167687187,0.254295533,0.605277157,0.636363636,0.626369967,0.329869579,0
Khalid,Talk,2019,3,20,76,0.051224743,0.901489118,0.365889988,0,0.538322057,0.321386915,1
Post Malone,Better Now,2018,3,52,85,0.338444238,0.649484536,0.555271837,0.909090909,0.594058185,0.324567914,2
"Bruno Mars, Cardi B",Finesse,2018,3,23,67,0.007983332,0.719358534,0.789339291,0.454545455,0.346832039,0.958647015,4
6ix9ine,FEFE,2018,3,20,81,0.089977391,0.936998855,0.35205873,0.090909091,0.476504727,0.361679567,1
French Montana,Unforgettable,2017,3,42,81,0.029956799,0.702176403,0.758484945,0.545454545,0.303856568,0.740218429,4
"The Chainsmokers, Coldplay",Something Just Like This,2017,3,39,83,0.050917994,0.577319588,0.615916587,1,0.334904002,0.435902874,2
Meghan Trainor,No,2016,3,20,70,0.012778844,0.508591065,0.79253112,0.090909091,0.267776414,0.656452126,1
One Direction,Drag Me Down,2015,3,20,78,0.111449835,0.706758305,0.688264709,0,0.551347918,0.593892482,1
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,2014,3,31,78,0.265846929,0.679266896,0.776571976,0,0.624834247,0.759304422,1
Iggy Azalea,Black Widow,2014,3,30,65,0.196317112,0.721649485,0.70635174,1,0.710945547,0.513307178,0
Imagine Dragons,Radioactive,2013,3,87,72,0.108382343,0.38373425,0.77444409,0.818181818,0.539826939,0.213232955,0
Rihanna,Stay,2013,3,32,48,0.966257589,0.581901489,0.270135121,0.818181818,0.38963482,0.095535998,3
"will.i.am, Britney Spears",Scream & Shout,2013,3,24,74,0.019425077,0.75486827,0.669113736,0.454545455,0.501514133,0.494221185,1
Eminem,Berzerk,2013,3,20,67,0.02218582,0.717067583,0.868071071,1,0.285964512,0.688262114,4
The Wanted,Glad You Came,2012,3,37,46,0.057257477,0.56930126,0.835088839,0.636363636,0.482123363,0.419997879,0
Whitney Houston,I Will Always Love You,2012,3,29,76,0.86298536,0.221076747,0.167996595,0.363636364,0.112631754,0.077510338,3
One Direction,Live While We're Young,2012,3,16,73,0.064312709,0.624284078,0.830833067,0.181818182,0.476732927,0.955466016,1
Foster The People,Pumped Up Kicks,2011,3,40,83,0.148259738,0.710194731,0.69571231,0.454545455,0.48882132,0.986215672,4
Jennifer Lopez,On The Floor,2011,3,29,60,0.110427338,0.706758305,0.766996489,0.272727273,0.501310604,0.58965115,1
Lil Wayne,She Will,2011,3,21,56,0.000408672,0.287514318,0.835088839,0.727272727,0.317147633,0.052168381,0
Train,"Hey, Soul Sister",2010,3,54,82,0.189159631,0.641466208,0.882966273,0.090909091,0.297855544,0.805959071,1
Lady Gaga,Telephone,2010,3,33,69,0.005999687,0.815578465,0.825513352,0.454545455,0.452099742,0.71901177,4
Keri Hilson,Knock You Down,2009,3,31,66,0.009731802,0.544100802,0.873390786,0.727272727,0.656516939,0.646909129,0
Kanye West,Love Lockdown,2008,3,23,67,0.055416982,0.741122566,0.497818917,0.090909091,0.437186611,0.08175167,1
Britney Spears,Circus,2008,3,22,70,0.150304733,0.776632302,0.720182998,0.545454545,0.408674039,0.769907751,4
David Cook,The Time Of My Life,2008,3,20,54,0.055314732,0.344788087,0.555271837,0.727272727,0.655252592,0.260947938,0
Timbaland,The Way I Are,2007,3,38,51,0.174844668,0.703321879,0.795722949,0.545454545,0.406977963,0.759304422,4
Britney Spears,Gimme More,2007,3,20,72,0.255621956,0.773195876,0.838280668,0.181818182,0.39846058,0.368041565,1
The Fray,How To Save A Life,2006,3,58,80,0.275049405,0.603665521,0.730822428,0.909090909,0.452186087,0.345774573,2
Hinder,Lips Of An Angel,2006,3,33,71,0.02218582,0.41580756,0.723374827,0.181818182,0.49566113,0.229137949,1
Sean Paul,Give It Up To Me,2006,3,22,57,0.168709684,0.849942726,0.657410363,0.636363636,0.291558478,0.575866822,4
50 Cent,Disco Inferno,2005,3,29,69,0.210632074,0.930126002,0.641451218,0.272727273,0.297892549,0.715830771,1
Destiny's Child,Lose My Breath,2004,3,23,57,0.007431183,0.802978236,0.896797532,0.090909091,0.433535423,0.540875835,1
Alicia Keys,You Don't Know My Name,2004,3,20,61,0.602248545,0.171821306,0.64570699,0.818181818,0.73118127,0.228077616,0
50 Cent,P.I.M.P.,2003,3,25,66,0.045396509,0.672394044,0.746781573,0.909090909,0.184872239,0.905630368,4
Justin Timberlake,Cry Me A River,2003,3,20,73,0.587933583,0.585337915,0.63506756,0.727272727,0.155212503,0.562082494,2
Nelly,Air Force Ones,2003,3,20,61,0.08660315,0.768613975,0.428662624,0.363636364,0.71138961,0.61828014,1
No Doubt,Underneath It All,2002,3,30,59,0.240284496,0.705612829,0.718055112,0.363636364,0.551909164,0.851553388,4
Usher,U Don't Have To Call,2002,3,26,59,0.048872999,0.778923253,0.544632408,0.090909091,0.316315014,0.817622734,1
Dido,Thank You,2001,3,39,61,0.290386865,0.697594502,0.573358868,0.090909091,0.192809873,0.745520093,1
Enrique Iglesias,Hero,2001,3,34,45,0.150304733,0.506300115,0.619108416,0.636363636,0.636583425,0.120983989,0
Nelly,Ride Wit Me,2001,3,29,74,0.062983462,0.844215349,0.68507288,0.636363636,0.327848328,0.728554766,4
3 Doors Down,Kryptonite,2000,3,53,77,0.00678701,0.494845361,0.860623471,1,0.310172136,0.538755169,4
Sisqo,Thong Song,2000,3,28,66,0.121674808,0.679266896,0.885094159,0.181818182,0.449188659,0.720072103,1
Christina Aguilera,I Turn To You,2000,3,22,58,0.388546607,0.556701031,0.440365996,0.090909091,0.483899617,0.278973598,3
Marc Anthony,I Need To Know,1999,3,40,56,0.496931322,0.801832761,0.94999468,0.272727273,0.40917361,0.802778072,1
Jessica Simpson,I Wanna Love You Forever,1999,3,20,58,0.159507209,0.546391753,0.648898819,0.363636364,0.341213403,0.041777118,3
LFO,Summer Girls,1999,3,17,59,0.164619695,0.802978236,0.799978721,0.636363636,0.315149347,0.745520093,4
Panic! At The Disco,High Hopes,2019,4,47,84,0.197339609,0.533791523,0.902117247,0.454545455,0.205354665,0.685081115,4
J. Cole,Middle Child,2019,4,23,64,0.196317112,0.832760596,0.455261198,0.727272727,0.476782267,0.505884848,2
The Weeknd,Call Out My Name,2018,4,18,82,0.173822171,0.39862543,0.571230982,0.090909091,0.527029277,0.148552646,3
Imagine Dragons,Believer,2017,4,52,87,0.063596961,0.759450172,0.770188318,0.909090909,0.470158321,0.669176121,4
Imagine Dragons,Thunder,2017,4,52,84,0.006858585,0.563573883,0.814873923,0,0.73565891,0.268370268,1
Lady Gaga,Million Reasons,2017,4,20,77,0.5051113,0.633447881,0.390360677,0,0.500632174,0.126285654,3
Harry Styles,Sign Of The Times,2017,4,13,81,0.028116304,0.461626575,0.573358868,0.454545455,0.439462437,0.198388294,0
Bruno Mars,24K Magic,2016,4,41,78,0.034762536,0.807560137,0.794659006,0.090909091,0.359271983,0.633124801,1
Flo Rida,My House,2016,4,39,76,0.02198132,0.658648339,0.687200766,0.636363636,0.279315896,0.747640759,4
DJ Snake,Let Me Love You,2016,4,33,80,0.088239146,0.6139748,0.702095968,0.727272727,0.316210165,0.13582865,2
Ariana Grande,Side To Side,2016,4,28,78,0.053985486,0.615120275,0.723374827,0.545454545,0.68123647,0.612978475,0
WALK THE MOON,Shut Up And Dance,2015,4,53,79,0.007165334,0.532646048,0.861687414,0.090909091,0.489209875,0.619340473,1
Meghan Trainor,Lips Are Movin,2015,4,29,69,0.051735992,0.758304696,0.818065752,0.636363636,0.557379779,0.970310678,4
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,2015,4,20,79,0.894682777,0.53722795,0.229705288,0.181818182,0.969094419,0.338352243,3
"DJ Snake, Lil Jon",Turn Down For What,2014,4,37,72,0.0010917,0.807560137,0.790403234,0.090909091,0.316370522,0.049411515,1
"A Great Big World, Christina Aguilera",Say Something,2014,4,26,59,0.886502798,0.389461627,0.095648473,0.181818182,0.550065068,0.060014845,3
Ariana Grande,Break Free,2014,4,22,74,0.006541611,0.657502864,0.687200766,0.636363636,0.501039232,0.264128936,0
Florida Georgia Line,Cruise,2013,4,54,58,0.019527326,0.394043528,0.948930737,0.909090909,0.612326461,0.893966706,4
Drake,"Hold On, We're Going Home",2013,4,33,71,0.004240992,0.759450172,0.379721247,0.545454545,0.316302679,0.267309935,2
One Direction,What Makes You Beautiful,2012,4,34,80,0.009200104,0.702176403,0.777635919,0.363636364,0.47041119,0.904570035,4
Bruno Mars,The Lazy Song,2011,4,27,71,0.339466736,0.715922108,0.795722949,1,0.778498696,0.969250345,4
Bad Meets Evil,Lighters,2011,4,22,68,0.359916682,0.644902635,0.679753165,0,0.256261603,0.115682324,3
Dr. Dre,I Need A Doctor,2011,4,20,71,0.088852644,0.550973654,0.946802851,0.272727273,0.660593688,0.383946559,1
Enrique Iglesias,I Like It,2010,4,38,64,0.021367822,0.610538373,0.940419194,0.909090909,0.495210899,0.709468773,4
Kings Of Leon,Use Somebody,2009,4,57,75,0.005641813,0.186712486,0.701032025,0,0.544656128,0.14643198,1
Miley Cyrus,The Climb,2009,4,28,69,0.085273904,0.24513173,0.565911267,0.363636364,0.692960978,0.311843919,0
Jeremih,Birthday Sex,2009,4,20,68,0.30367933,0.648339061,0.495691031,0.636363636,0.069668618,0.434842541,2
Sara Bareilles,Love Song,2008,4,41,75,0.021265572,0.538373425,0.776571976,0.181818182,0.458458483,0.570565157,1
Daughtry,It's Not Over,2007,4,29,60,0.051429243,0.360824742,0.918076391,0.909090909,0.599541134,0.274732266,0
Dixie Chicks,Not Ready To Make Nice,2007,4,24,48,0.11349483,0.38373425,0.480795829,0.545454545,0.212922246,0.213232955,2
The Game,How We Do,2005,4,28,72,0.046521256,0.857961054,0.629747846,0.363636364,0.304023091,0.638426466,1
Akon,Lonely,2005,4,20,37,0.338444238,0.591065292,0.506330461,0.454545455,0.25521312,0.619340473,4
Alicia Keys,If I Ain't Got You,2004,4,40,78,0.616563508,0.568155785,0.413767422,0.636363636,0.429723879,0.139009649,3
Kevin Lyttle,Turn Me On,2004,4,25,67,0.041408769,0.64604811,0.665921907,0.818181818,0.355010207,0.890785707,4
Nelly,My Place,2004,4,20,57,0.050917994,0.557846506,0.622300245,0.090909091,0.705783309,0.643728131,1
Avril Lavigne,I'm With You,2003,4,27,70,0.081797413,0.394043528,0.372273646,0.818181818,0.636688274,0.183543633,0
Creed,My Sacrifice,2002,4,29,40,0.0001009,0.233676976,0.8712629,0.181818182,0.601742949,0.238680946,1
Eminem,Cleanin' Out My Closet,2002,4,20,70,0.070243193,0.910652921,0.746781573,0.818181818,0.612418974,0.885484042,4
Lenny Kravitz,Again,2001,4,32,67,0.015130588,0.500572738,0.795722949,0.181818182,0.187789489,0.799597073,1
Ginuwine,Differences,2001,4,30,68,0.325151773,0.514318442,0.572294925,0.272727273,0.087320139,0.411515216,3
Madonna,Don't Tell Me,2001,4,21,42,0.051326993,0.671248568,0.597829556,0.636363636,0.316068312,0.68296045,4
Joe,I Wanna Know,2000,4,44,64,0.265846929,0.701030928,0.458453027,0.727272727,0.538846299,0.598133814,2
Montell Jordan,Get It On Tonite,2000,4,32,52,0.264824432,0.794959908,0.4701564,0.909090909,0.310122796,0.871699714,4
P!nk,Most Girls,2000,4,27,53,0.043351514,0.720504009,0.719119055,0.181818182,0.30347418,0.699925777,1
Smash Mouth,All Star,1999,4,30,79,0.040386272,0.70790378,0.862751357,1,0.34107155,0.785812745,4
Whitney Houston,My Love Is Your Love,1999,4,28,68,0.056950728,0.75257732,0.445685711,0.636363636,0.208419936,0.465592196,2
Logic,Homicide,2019,5,5,71,0.148259738,0.697594502,0.75316523,0.909090909,0.561943764,0.807019404,4
"Zedd, Maren Morris, Grey",The Middle,2018,5,40,82,0.174844668,0.733104238,0.639323332,0.636363636,0.359518685,0.426359877,2
Halsey,Bad At Love,2018,5,33,75,0.061756466,0.643757159,0.739333972,0,0.429668371,0.611918142,1
Charlie Puth,Attention,2017,5,40,82,0.111449835,0.758304696,0.592509841,0.272727273,0.316691234,0.808079737,1
