Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
Lady Gaga,The Edge Of Glory,2011,3,2011-05-26,24,"Electronic Rock,Electronic,Electro-Pop,Disco,Dance-Pop,Pop",0.000327894,0.538373425,0.757421002,0.818181818,0.488679466,0.341533241,0
The Wanted,Glad You Came,2012,3,2012-04-27,37,"Dance-Pop,Pop",0.057257477,0.56930126,0.835088839,0.636363636,0.482123363,0.419997879,0
Iggy Azalea,Black Widow,2014,3,2014-10-17,30,"Australia,UK,Pop,Rap",0.196317112,0.721649485,0.70635174,1,0.710945547,0.513307178,0
Imagine Dragons,Radioactive,2013,3,2013-07-05,87,"Adult Alternative,Dubstep,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Electronic Rock,Pop,Rock",0.108382343,0.38373425,0.77444409,0.818181818,0.539826939,0.213232955,0
Alicia Keys,You Don't Know My Name,2004,3,2004-01-27,20,"R&;B,Rap",0.602248545,0.171821306,0.64570699,0.818181818,0.73118127,0.228077616,0
Maroon 5,Animals,2014,3,2014-11-21,33,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",0.00018679,0.190148912,0.729758485,0.363636364,0.870549343,0.310783586,0
Lil Wayne,She Will,2011,3,2011-09-01,21,Rap,0.000408672,0.287514318,0.835088839,0.727272727,0.317147633,0.052168381,0
Daughtry,It's Not Over,2007,4,2007-02-14,29,"Post-Grunge,Pop,Pop-Rock,Rock",0.051429243,0.360824742,0.918076391,0.909090909,0.599541134,0.274732266,0
Miley Cyrus,The Climb,2009,4,2009-04-30,28,"Disney,Soundtrack,Pop-Rock,Country,Pop",0.085273904,0.24513173,0.565911267,0.363636364,0.692960978,0.311843919,0
Ariana Grande,Break Free,2014,4,2014-08-29,22,"Electro-Pop,Dance,Pop",0.006541611,0.657502864,0.687200766,0.636363636,0.501039232,0.264128936,0
3 Doors Down,When I'm Gone,2003,4,2003-04-22,45,Rock,0.003934242,0.47766323,0.757421002,0.636363636,0.612912378,0.359558901,0
Avril Lavigne,I'm With You,2003,4,2003-02-04,27,"Pop,Ballad,Canada,Rock",0.081797413,0.394043528,0.372273646,0.818181818,0.636688274,0.183543633,0
Harry Styles,Sign Of The Times,2017,4,2017-04-29,13,"Ballad,Piano,Alternative Pop,Pop-Rock,UK,Pop",0.028116304,0.461626575,0.573358868,0.454545455,0.439462437,0.198388294,0
Ariana Grande,Side To Side,2016,4,2016-12-17,28,"Reggae,Rap,Pop",0.053985486,0.615120275,0.723374827,0.545454545,0.68123647,0.612978475,0
3 Doors Down,Here Without You,2003,5,2003-12-16,51,"Post-Grunge,Rock",0.008330981,0.407789233,0.653154591,0.909090909,0.58793381,0.130526985,0
Evanescence,Bring Me To Life,2003,5,2003-06-03,32,"Metal,Alternative Metal,Gothic Rock,Gothic Metal,Memes,Nu-Metal,Rock",0.007369833,0.249713631,0.943611022,0.363636364,0.283053429,0.276852932,0
Taylor Swift,Wildest Dreams,2015,5,2015-11-06,27,"Dream-Pop,Pop",0.070754442,0.500572738,0.672305564,0.727272727,0.562967577,0.456049199,0
matchbox twenty,Unwell,2003,5,2003-08-05,54,"Adult Contemporary,Adult Alternative,Alternative Rock,Pop-Rock,Rock",0.030468048,0.163802978,0.778699862,0.545454545,0.197361523,0.417877213,0
Bastille,Pompeii,2014,5,2014-03-14,53,"UK,Pop-Rock,Rock,Adult Contemporary,Adult Alternative,Alternative Rock,Indie Pop,Indie Rock,Pop,Alternative Pop",0.069118446,0.625429553,0.781891691,0.818181818,0.485404499,0.514367511,0
Christina Milian,Dip It Low,2004,5,2004-09-08,30,"R&;B,Rap",0.012472095,0.734249714,0.704223854,1,0.742560396,0.573746156,0
Staind,It's Been Awhile,2001,5,2001-10-16,46,"Alternative Rock,Memes,Nu-Metal,Alternative Metal,Rock",0.001930148,0.453608247,0.76380466,0.545454545,0.41822757,0.050365815,0
Rihanna,Love On The Brain,2017,5,2017-03-25,31,"Doo-Wop,Pop,R&;B",0.073310685,0.453608247,0.618044473,0.363636364,0.760384608,0.363800233,0
No Doubt,Hey Baby,2002,5,2002-03-05,20,"Dancehall,Pop,Rock",0.06012047,0.55441008,0.855303756,1,0.854945448,0.767787085,0
Daughtry,Home,2007,5,2007-05-30,37,"Soundtrack,Pop-Rock,Pop,Rock",0.002216447,0.378006873,0.847856155,0.545454545,0.587569925,0.321386915,0
50 Cent,Ayo Technology,2007,5,2007-09-26,20,"Rap,Producer",0.084660405,0.592210767,0.772316204,0.727272727,0.563874207,0.406213551,0
Lil Wayne,How To Love,2011,5,2011-08-11,24,"R&;B,Pop,Rap",0.00017861,0.608247423,0.643579104,1,0.649282406,0.251404941,0
Lifehouse,You And Me,2005,5,2005-08-24,62,"Pop-Rock,Rock",0.116562321,0.396334479,0.394616449,0.636363636,0.56238166,0.338352243,0
Rich Boy,Throw Some D's,2007,6,2007-03-28,21,Rap,0.037625529,0.668957617,0.855303756,1,0.691856987,0.422118545,0
Kodak Black,Tunnel Vision,2017,6,2017-03-25,20,"Producer,Trap,Rap",0.058893473,0.439862543,0.460580913,1,0.759440973,0.20793129,0
Green Day,Wake Me Up When September Ends,2005,6,2005-10-12,27,"Adult Alternative,Emo,Alternative Rock,Ballad,Punk Rock,Rock",0.023515066,0.495990836,0.806362379,0.636363636,0.346998563,0.11780299,0
Kelly Clarkson,Breakaway,2004,6,2004-11-17,46,"Screen,Pop-Rock,Soundtrack,Pop,Rock",0.030468048,0.381443299,0.686136823,0.818181818,0.686077995,0.38076556,0
Kelly Clarkson,Behind These Hazel Eyes,2005,6,2005-06-29,34,"Pop-Rock,Pop,Rock",0.001684748,0.498281787,0.886158102,0.818181818,0.254904742,0.413635882,0
Neon Trees,Everybody Talks,2012,6,2012-09-14,39,"Pop-Rock,Pop,Rock",0.003075345,0.410080183,0.923396106,0.727272727,0.655258759,0.731735765,0
Rachel Platten,Fight Song,2015,6,2015-08-28,31,"Power Pop,Pop",0.05613273,0.516609393,0.699968082,0.636363636,0.78454906,0.312904252,0
Rascal Flatts,What Hurts The Most,2006,6,2006-04-26,51,"Disney,Soundtrack,Country,Rock",0.008995604,0.485681558,0.657410363,0.454545455,0.538328225,0.312904252,0
Nick Lachey,What's Left Of Me,2006,6,2006-05-10,25,Pop,0.139057262,0.352806415,0.714863283,0.636363636,0.625401662,0.292757926,0
Linkin Park,New Divide,2009,6,2009-06-04,20,"Alternative,Alternative Rock,Electronic Rock,Electronic,Rock",0.000237915,0.435280641,0.799978721,0.454545455,0.427121174,0.365920899,0
Brandy,What About Us?,2002,7,2002-03-12,18,"R&;B,Pop",0.262779437,0.470790378,0.719119055,0.909090909,0.846273876,0.743399427,0
5 Seconds Of Summer,Youngblood,2018,7,2018-10-20,48,"New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",0.017277832,0.553264605,0.848920098,0.636363636,0.441325036,0.124164988,0
Nickelback,Someday,2004,7,2004-02-10,50,"Ballad,Hard Rock,Pop-Rock,Alternative Rock,Post-Grunge,Rock",0.000627486,0.391752577,0.85317587,1,0.705567445,0.596013148,0
Akon,"Sorry, Blame It On Me",2007,7,2007-08-01,19,"R&;B,Rap",0.256644453,0.682703322,0.632939674,0.636363636,0.785887418,0.538755169,0
Lil Uzi Vert,XO TOUR Llif3,2017,7,2017-06-24,34,"Hip-Hop,Emo Rap,Memes,Alternative,Alternative R&;B,Trap,Rap",0.002697021,0.709049255,0.738270029,1,0.656091378,0.388187891,0
The Fray,You Found Me,2009,7,2009-02-12,39,"Pop,Alternative Rock,Rock",0.019118328,0.257731959,0.794659006,0.727272727,0.636959646,0.387127558,0
Christina Aguilera,Keeps Gettin' Better,2008,7,2008-10-16,18,Pop,0.075560179,0.609392898,0.681881051,0.454545455,0.501316771,0.228077616,0
Linkin Park,What I've Done,2007,7,2007-04-18,23,"Alternative,Rock,Alternative Rock",0.01441484,0.58419244,0.929779764,0.454545455,0.440369066,0.267309935,0
Ja Rule,Put It On Me,2001,8,2001-03-20,27,"East Coast,Hip-Hop,Rap",0.0297523,0.526918671,0.845728269,0.545454545,0.845324074,0.721132436,0
Kelly Clarkson,Never Again,2007,8,2007-05-09,16,"Glam Rock,Pop,Rock",0.001715423,0.459335624,0.908500904,0.636363636,0.599417784,0.46347153,0
Post Malone,Congratulations,2017,8,2017-07-15,50,Rap,0.20858708,0.591065292,0.798914778,0.545454545,0.458119268,0.485738522,0
Sonique,It Feels So Good,2000,8,2000-04-18,24,Rap,0.011960846,0.596792669,0.660602192,0.454545455,0.532222352,0.554660163,0
Carrie Underwood,Before He Cheats,2007,8,2007-05-30,64,"Pop,Country",0.2770944,0.465063001,0.737206086,0.545454545,0.611740544,0.270490934,0
Coldplay,Speed Of Sound,2005,8,2005-05-04,20,"UK,Brit Pop,Alternative Rock,Indie Rock,Rock",0.004987415,0.459335624,0.895733589,1,0.458550996,0.33729191,0
Kent Jones,Don't Mind,2016,8,2016-08-06,20,Rap,0.024026315,0.402061856,0.760612831,0.727272727,0.678794121,0.694624112,0
"DJ Sammy, Yanou",Heaven,2002,8,2002-08-06,27,Pop,0.001122375,0.524627721,0.954250452,0.727272727,0.55043512,0.60025448,0
Zedd,Clarity,2013,8,2013-08-16,33,"UK,Electronic,Pop",0.040693021,0.453608247,0.771252261,0.727272727,0.488975509,0.149612978,0
Drake,Forever,2009,8,2009-10-01,24,"NBA,Canada,R&;B,Basketball,Soundtrack,Rap",0.239261999,0.407789233,0.930843707,0.454545455,0.354825181,0.521789842,0
Nickelback,Far Away,2006,8,2006-09-20,30,"Ballad,Adult Contemporary,Pop-Rock,Alternative Rock,Post-Grunge,Rock",0.000709286,0.463917526,0.788275348,0.545454545,0.519289005,0.273671933,0
Travis Scott,Stargazing,2018,8,2018-08-18,8,"Psychedelic,Trap,Rap",0.009680677,0.428407789,0.779763805,0.727272727,0.624704729,0.022797158,0
Kelly Clarkson,Miss Independent,2003,9,2003-07-15,20,"R&;B,Pop-Rock,Pop,Rock",0.088034646,0.620847652,0.603149271,1,0.78485127,0.615099141,0
P!nk,Who Knew,2007,9,2007-10-03,36,"Pop-Rock,Pop",0.004721565,0.658648339,0.720182998,0.818181818,0.56301075,0.449687202,0
Katy Perry,Waking Up In Vegas,2009,9,2009-08-06,23,"Pop-Rock,Power Pop,Pop",0.001224625,0.470790378,0.874454729,0.454545455,0.507410308,0.588590818,0
Len,Steal My Sunshine,1999,9,1999-11-08,25,Rock,0.465233905,0.342497136,0.954250452,0.363636364,0.881983977,0.549358499,0
Fall Out Boy,"Dance, Dance",2006,9,2006-01-11,31,"Alternative Pop,Alternative,Emo,Pop-Punk,Punk Rock,Pop-Rock,Alternative Rock,Rock",0.004844265,0.592210767,0.968081711,1,0.405429909,0.493160853,0
Fall Out Boy,Centuries,2015,10,2015-02-13,34,"Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",0.003668393,0.32187858,0.85317587,0.363636364,0.785289165,0.556780829,0
Panic! At The Disco,I Write Sins Not Tragedies,2006,10,2006-08-16,37,"Punk Rock,Emo,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Rock",0.095907876,0.520045819,0.786147462,0.818181818,0.748382561,0.6363058,0
Evanescence,Call Me When You're Sober,2006,10,2006-09-06,22,Rock,0.001971048,0.3860252,0.879774444,0.636363636,0.275640037,0.310783586,0
DJ Khaled,I'm On One,2011,10,2011-06-09,23,"Motown,Producer,Canada,Rap",0.054803484,0.343642612,0.798914778,1,0.620529299,0.42742021,0
Miley Cyrus,Malibu,2017,10,2017-06-03,15,"Pop Country,Pop-Rock,Pop",0.078423172,0.526918671,0.771252261,0.727272727,0.562579022,0.32668858,0
Chris Brown,Don't Wake Me Up,2012,10,2012-11-09,28,"Dance-Pop,EDM,Pop,Dance,R&;B",0.056030481,0.560137457,0.675497393,0.636363636,0.48877198,0.181422967,0
Taylor Swift,If This Was A Movie,2011,10,2011-11-24,2,"Country,Pop",0.169732182,0.455899198,0.705287797,0.363636364,0.611413664,0.269430601,0
Elle King,Ex's & Oh's,2015,10,2015-11-27,38,"Adult Contemporary,Adult Alternative,Blues Rock,Alternative Country,Alternative Rock,Pop-Rock,Rock,Pop",0.018709329,0.571592211,0.920204277,0.636363636,0.562899734,0.443325204,0
Destiny's Child,Emotion,2001,10,2001-11-27,20,"Adult Contemporary,Ballad,Cover,Soul Pop,Pop,R&;B",0.16666469,0.342497136,0.554207894,0.636363636,0.770678245,0.328809246,0
Coldplay,A Sky Full Of Stars,2014,10,2014-05-30,26,"UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",0.007288034,0.501718213,0.61698053,0.545454545,0.470448196,0.125225321,0
Taylor Swift,Change,2008,10,2008-08-28,3,"Pop Country,Country,Pop",0.00481359,0.498281787,0.744653687,0.454545455,0.291848352,0.20050896,0
Cascada,Everytime We Touch,2006,10,2006-03-08,31,"Memes,Electronic,Dance,Eurodance,Pop",0.004844265,0.597938144,0.976593255,0.727272727,0.575623385,0.487859188,0
Andy Williams,It's The Most Wonderful Time Of The Year,2018,10,2018-12-29,10,"Christmas,Holiday,Pop",0.78323057,0.145475372,0.576550697,0.636363636,0.94587977,0.785812745,0
Lady Gaga,Judas,2011,10,2011-04-28,8,"Electro House,Art Pop,Eurodance,Electro-Pop,Dance-Pop,Pop",0.000986383,0.627720504,0.937227365,0.909090909,0.507484319,0.530272506,0
Adam Lambert,Whataya Want From Me,2010,10,2010-04-29,30,"Ballad,Pop-Rock,Glam Rock,Pop",0.007216459,0.374570447,0.66698585,1,0.846372557,0.434842541,0
Demi Lovato,Heart Attack,2013,10,2013-04-26,20,Pop,0.074230933,0.442153494,0.765932546,0.727272727,0.77255318,0.520729509,0
Leona Lewis,Better In Time,2008,11,2008-10-23,31,"R&;B,Pop",0.523516252,0.5395189,0.68507288,0.545454545,0.710717347,0.545117167,0
Everclear,Wonderful,2000,11,2000-10-17,21,Rock,0.012063096,0.459335624,0.809554208,0.636363636,0.851411443,0.741278762,0
Shawn Mendes,In My Blood,2018,11,2018-06-09,23,"Producer,Rock,Adult Contemporary,Ballad,Pop-Rock,Canada,Pop",0.058586724,0.583046964,0.697840196,0.454545455,0.563140269,0.479376524,0
Wayne Wonder,No Letting Go,2003,11,2003-06-10,31,"Jamaica,Dancehall,R&;B",0.048975249,0.437571592,0.811682094,0.454545455,0.317597864,0.300180257,0
Demi Lovato,Cool For The Summer,2015,11,2015-09-18,20,Pop,0.004343241,0.538373425,0.589318013,0.454545455,0.402999895,0.31926625,0
Big Tymers,Still Fly,2002,11,2002-07-16,24,Rap,0.030877047,0.643757159,0.586126184,1,0.796908825,0.556780829,0
Dev,In The Dark,2011,11,2011-10-20,20,Rap,0.003658168,0.713631157,0.815937866,0.727272727,0.470189159,0.431661542,0
LeAnn Rimes,I Need You,2000,11,2000-08-08,25,Rock,0.020447574,0.418098511,0.723374827,0.636363636,0.592004391,0.561022161,0
Taylor Swift,You're Not Sorry,2008,11,2008-11-13,5,"Pop Country,Rock,Ballad,Country",0.149282236,0.414662085,0.421215023,0.545454545,0.525727925,0.255646273,0
Fall Out Boy,Thnks Fr Th Mmrs,2007,11,2007-07-04,28,"Pop-Rock,Punk Rock,Alternative Pop,Alternative,Emo,Alternative Rock,Pop-Punk,Rock",0.005222589,0.396334479,0.888285988,0.909090909,0.654493984,0.586470152,0
WILLOW,Whip My Hair,2010,11,2010-11-11,18,Rap,0.001623399,0.502863688,0.982976912,0.818181818,0.70459914,0.671296787,0
Linkin Park,Numb,2004,11,2004-03-03,33,"Alternative Rock,Nu-Metal,Rock",0.004701115,0.438717068,0.858495585,0.818181818,0.378070668,0.220655286,0
NF,Let You Down,2018,12,2018-03-03,28,"Hip-Hop,Pop,Rap",0.319016789,0.628865979,0.699968082,0.454545455,0.612307958,0.454988867,0
